IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
112.74.93.147,4,4,0.00,19.87,0.00
112.74.93.147,4,4,0.00,21.00,0.00
223.4.66.202,4,4,0.00,21.98,0.00
223.4.76.213,4,4,0.00,23.10,0.00
223.4.76.213,4,4,0.00,23.43,0.00
101.132.47.83,4,4,0.00,23.47,0.00
47.100.162.175,4,4,0.00,23.71,0.00
47.101.62.249,4,4,0.00,23.79,0.00
223.4.66.202,4,4,0.00,24.17,0.00
223.4.66.202,4,4,0.00,24.26,0.00
139.196.224.73,4,4,0.00,24.36,0.00
47.101.62.249,4,4,0.00,24.38,0.00
47.100.162.175,4,4,0.00,24.59,0.00
101.132.47.83,4,4,0.00,24.70,0.00
47.101.62.249,4,4,0.00,25.42,0.00
101.132.47.83,4,4,0.00,25.73,0.00
139.196.224.73,4,4,0.00,25.92,0.00
47.100.162.175,4,4,0.00,26.07,0.00
139.196.224.73,4,4,0.00,26.59,0.00
139.224.43.79,4,4,0.00,27.02,0.00
139.224.43.79,4,4,0.00,27.10,0.00
101.32.208.182,4,4,0.00,30.78,0.00
43.154.163.154,4,4,0.00,33.68,0.00
112.126.72.158,4,4,0.00,43.19,0.00
112.126.72.158,4,4,0.00,44.77,0.00
112.126.72.158,4,4,0.00,45.66,0.00
146.56.149.205,4,4,0.00,45.68,0.00
219.76.13.181,4,4,0.00,53.99,0.00
35.240.250.92,4,4,0.00,68.91,0.00
101.32.239.115,4,4,0.00,71.64,0.00
35.240.250.92,4,4,0.00,78.93,0.00
20.212.129.241,4,4,0.00,110.08,0.00
123.58.201.213,4,4,0.00,133.74,0.00
43.153.31.207,4,4,0.00,141.59,0.00
128.14.162.48,4,4,0.00,148.76,0.00
144.24.79.237,4,4,0.00,149.33,0.00
104.18.136.69,4,4,0.00,153.28,0.00
104.18.75.154,4,4,0.00,153.90,0.00
104.18.187.208,4,4,0.00,154.16,0.00
172.65.242.175,4,4,0.00,157.24,0.00
104.18.204.58,4,4,0.00,158.38,0.00
104.18.161.250,4,4,0.00,159.28,0.00
104.18.144.139,4,4,0.00,159.70,0.00
104.19.5.213,4,4,0.00,160.10,0.00
193.123.66.14,4,4,0.00,160.24,0.00
172.65.243.160,4,4,0.00,160.54,0.00
104.17.220.70,4,4,0.00,160.82,0.00
104.18.167.63,4,4,0.00,160.91,0.00
104.18.222.58,4,4,0.00,160.98,0.00
104.17.247.91,4,4,0.00,161.26,0.00
104.17.43.24,4,4,0.00,161.38,0.00
172.65.251.232,4,4,0.00,161.44,0.00
104.19.202.130,4,4,0.00,161.68,0.00
172.65.241.140,4,4,0.00,161.74,0.00
104.19.208.170,4,4,0.00,161.77,0.00
