IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
130.162.144.196,4,4,0.00,70.96,4.67
64.110.91.92,4,4,0.00,93.34,4.19
64.110.64.167,4,4,0.00,75.11,4.01
64.110.85.255,4,4,0.00,94.01,3.86
64.110.85.255,4,4,0.00,74.08,3.68
64.110.86.224,4,4,0.00,81.69,3.40
64.110.85.255,4,4,0.00,72.41,2.26
130.162.154.209,4,4,0.00,75.11,0.98
64.110.64.167,4,4,0.00,80.28,0.56
130.162.132.163,4,4,0.00,90.57,0.53
64.110.86.224,4,4,0.00,71.84,0.41
130.162.144.196,4,4,0.00,71.57,0.29
64.110.85.255,4,4,0.00,74.82,0.16
140.238.13.87,4,4,0.00,40.69,0.00
140.238.9.252,4,4,0.00,46.14,0.00
146.56.136.242,4,4,0.00,46.24,0.00
140.238.9.252,4,4,0.00,46.24,0.00
146.56.138.78,4,4,0.00,46.90,0.00
132.145.81.211,4,4,0.00,47.01,0.00
131.186.29.13,4,4,0.00,47.53,0.00
140.238.9.252,4,4,0.00,48.06,0.00
140.238.9.27,4,4,0.00,48.12,0.00
140.238.14.39,4,4,0.00,48.13,0.00
140.238.30.221,4,4,0.00,48.24,0.00
131.186.23.78,4,4,0.00,48.24,0.00
140.238.9.27,4,4,0.00,48.34,0.00
131.186.24.109,4,4,0.00,48.75,0.00
140.238.3.253,4,4,0.00,48.77,0.00
146.56.176.49,4,4,0.00,48.95,0.00
140.238.10.27,4,4,0.00,50.11,0.00
131.186.23.78,4,4,0.00,50.24,0.00
131.186.19.255,4,4,0.00,50.87,0.00
140.238.14.39,4,4,0.00,51.02,0.00
131.186.24.109,4,4,0.00,51.24,0.00
140.238.13.87,4,4,0.00,51.51,0.00
140.238.9.252,4,4,0.00,51.68,0.00
140.238.13.87,4,4,0.00,51.90,0.00
146.56.136.138,4,4,0.00,51.91,0.00
131.186.29.13,4,4,0.00,52.06,0.00
140.238.2.72,4,4,0.00,52.72,0.00
140.238.14.240,4,4,0.00,52.89,0.00
152.70.94.126,4,4,0.00,53.19,0.00
140.238.19.123,4,4,0.00,53.45,0.00
146.56.131.141,4,4,0.00,53.74,0.00
152.70.92.10,4,4,0.00,54.06,0.00
152.70.92.10,4,4,0.00,54.54,0.00
146.56.138.78,4,4,0.00,54.68,0.00
152.70.89.247,4,4,0.00,55.21,0.00
140.238.30.221,4,4,0.00,55.34,0.00
146.56.131.141,4,4,0.00,55.51,0.00
140.238.13.87,4,4,0.00,55.98,0.00
140.238.13.162,4,4,0.00,56.17,0.00
140.238.12.33,4,4,0.00,56.42,0.00
146.56.136.242,4,4,0.00,56.46,0.00
146.56.136.138,4,4,0.00,56.50,0.00
140.238.18.36,4,4,0.00,56.82,0.00
140.238.31.150,4,4,0.00,57.02,0.00
146.56.138.251,4,4,0.00,57.60,0.00
146.56.131.72,4,4,0.00,57.96,0.00
146.56.136.138,4,4,0.00,58.33,0.00
131.186.24.109,4,4,0.00,58.39,0.00
193.123.253.63,4,4,0.00,58.48,0.00
140.238.12.33,4,4,0.00,60.39,0.00
140.238.14.139,4,4,0.00,60.71,0.00
131.186.23.94,4,4,0.00,61.31,0.00
193.122.121.75,4,4,0.00,61.32,0.00
146.56.131.72,4,4,0.00,62.22,0.00
132.145.81.211,4,4,0.00,62.74,0.00
131.186.23.78,4,4,0.00,63.22,0.00
152.70.92.10,4,4,0.00,63.70,0.00
140.238.13.162,4,4,0.00,64.46,0.00
140.238.9.252,4,4,0.00,65.26,0.00
146.56.131.72,4,4,0.00,66.18,0.00
132.145.82.119,4,4,0.00,66.19,0.00
132.145.88.113,4,4,0.00,66.83,0.00
193.122.103.150,4,4,0.00,67.93,0.00
129.154.220.248,4,4,0.00,68.03,0.00
132.145.95.84,4,4,0.00,68.05,0.00
146.56.36.124,4,4,0.00,68.08,0.00
132.226.19.164,4,4,0.00,68.40,0.00
129.154.220.248,4,4,0.00,68.40,0.00
193.122.105.73,4,4,0.00,68.70,0.00
193.122.103.150,4,4,0.00,69.05,0.00
152.70.255.126,4,4,0.00,69.17,0.00
64.110.65.194,4,4,0.00,69.33,0.00
132.145.88.113,4,4,0.00,69.34,0.00
132.226.224.255,4,4,0.00,69.72,0.00
152.70.238.76,4,4,0.00,69.87,0.00
152.70.248.72,4,4,0.00,69.87,0.00
152.70.234.109,4,4,0.00,70.02,0.00
132.226.19.164,4,4,0.00,70.07,0.00
131.186.31.56,4,4,0.00,70.11,0.00
129.154.209.138,4,4,0.00,70.60,0.00
152.70.250.214,4,4,0.00,70.66,0.00
130.162.152.117,4,4,0.00,70.70,0.00
193.122.121.75,4,4,0.00,70.75,0.00
146.56.44.131,4,4,0.00,70.95,0.00
146.56.176.13,4,4,0.00,46.09,0.00
129.154.197.192,4,4,0.00,71.01,0.00
