IP:PORT, LOSS, DELAY 123122222杀杀杀杀杀杀杀杀杀SSSSS2222222SSS222
[2606:4700:d0::9fd0:c1a7:e200:e418]:939,0.00%,144 ms
[2606:4700:d0::5b95:bf68:3b94:454d]:864,0.00%,144 ms
[2606:4700:d1::ecc1:7341:626f:79fa]:864,0.00%,144 ms
[2606:4700:d1::157c:ba81:5031:6264]:864,0.00%,147 ms
[2606:4700:d0::dd3d:8efe:407b:4ba4]:939,0.00%,150 ms
[2606:4700:d1::e917:8dcc:c9f8:be6c]:864,0.00%,151 ms
[2606:4700:d1::f820:bec5:2340:50ff]:939,0.00%,154 ms
[2606:4700:d1::64d0:fb19:ce80:3255]:864,0.00%,154 ms
[2606:4700:d1::b660:a41f:ca5f:1afa]:864,0.00%,154 ms
[2606:4700:d1::ecc1:7341:626f:79fa]:939,0.00%,154 ms
[2606:4700:d1::c09d:1bbd:f5a7:3c11]:939,0.00%,155 ms
[2606:4700:d1::2089:b778:39d3:7474]:939,0.00%,155 ms
[2606:4700:d1::c093:3c6b:29d5:5069]:864,0.00%,155 ms
[2606:4700:d1::ccc4:9286:683e:73b]:864,0.00%,156 ms
[2606:4700:d1::ba2d:989a:994b:a0b7]:939,0.00%,157 ms
[2606:4700:d1::4860:2d6a:a512:d7a9]:939,0.00%,157 ms
[2606:4700:d0::6489:dbf6:d3d:d434]:939,0.00%,157 ms
[2606:4700:d1::3e14:7432:844d:cc7b]:864,0.00%,157 ms
[2606:4700:d1::b925:6db8:75e7:2cad]:864,0.00%,157 ms
[2606:4700:d0::cc34:ecba:9efc:abaf]:939,0.00%,157 ms
[2606:4700:d0::ba8:6675:fb4c:1d08]:864,0.00%,158 ms
[2606:4700:d0::ba8:6675:fb4c:1d08]:939,0.00%,158 ms
[2606:4700:d1::ba2d:989a:994b:a0b7]:864,0.00%,158 ms
[2606:4700:d1::c288:8a7d:7281:4b34]:939,0.00%,158 ms
[2606:4700:d1::3466:75f9:cbb2:3f24]:864,0.00%,158 ms
[2606:4700:d1::3e14:7432:844d:cc7b]:939,0.00%,158 ms
[2606:4700:d0::51e1:20e5:816c:51c1]:939,0.00%,158 ms
[2606:4700:d0::5b95:bf68:3b94:454d]:939,0.00%,159 ms
[2606:4700:d1::f820:bec5:2340:50ff]:864,0.00%,159 ms
[2606:4700:d1::bae2:955a:9051:b0d7]:864,0.00%,161 ms
[2606:4700:d1::2646:f941:f9f0:12f8]:864,0.00%,161 ms
[2606:4700:d0::6f57:2f5e:7e7c:8575]:864,0.00%,161 ms
[2606:4700:d1::c093:3c6b:29d5:5069]:939,0.00%,161 ms
[2606:4700:d0::b2d:1060:d0bc:2623]:864,0.00%,161 ms
[2606:4700:d0::7c85:ad76:8467:def8]:939,0.00%,162 ms
[2606:4700:d0::bb13:af3c:266c:2501]:864,0.00%,162 ms
[2606:4700:d0::8de:65a9:7501:bf07]:864,0.00%,162 ms
[2606:4700:d1::b660:a41f:ca5f:1afa]:939,0.00%,162 ms
[2606:4700:d1::666:8ee8:6c20:31e2]:939,0.00%,162 ms
[2606:4700:d0::8de:65a9:7501:bf07]:939,0.00%,163 ms
[2606:4700:d1::e0d:6d77:92d4:3c0f]:939,0.00%,164 ms
[2606:4700:d1::2ef:255e:9106:3468]:864,0.00%,165 ms
[2606:4700:d1::2ef:255e:9106:3468]:939,0.00%,165 ms
[2606:4700:d1::666:8ee8:6c20:31e2]:864,0.00%,165 ms
[2606:4700:d0::e4ab:68a9:1319:5931]:939,0.00%,165 ms
[2606:4700:d0::669f:110f:b8f9:554e]:939,0.00%,166 ms
[2606:4700:d1::2232:c7a5:61ce:bbb8]:864,0.00%,166 ms
[2606:4700:d0::5340:7b98:c58b:60da]:939,0.00%,166 ms
[2606:4700:d1::bdd0:58b1:1aea:73f4]:864,0.00%,167 ms
[2606:4700:d1::d783:1490:dc85:de5]:864,0.00%,168 ms
[2606:4700:d0::9b39:f776:35b:a151]:939,0.00%,169 ms
[2606:4700:d1::22c8:ce1a:3af5:398d]:864,0.00%,169 ms
[2606:4700:d0::ddff:270f:ae3:11da]:939,0.00%,169 ms
[2606:4700:d0::17d5:37b:7c05:28a6]:939,0.00%,169 ms
[2606:4700:d1::f40b:e175:7e1e:640a]:864,0.00%,169 ms
[2606:4700:d0::e72:caf2:92cd:834b]:939,0.00%,169 ms
[2606:4700:d1::f2f1:ed04:ed61:3374]:864,0.00%,170 ms
[2606:4700:d1::f2f1:ed04:ed61:3374]:939,0.00%,171 ms
[2606:4700:d0::d312:1d52:b4d1:9437]:864,0.00%,171 ms
